"id","repo","file_path","embed_method","content"
84,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/veriffsplash/VeriffSplashPresenter.java","kotlin_cannot_identify","analytics.logEvent(object : AnalyticsEvent { override val event = ""kyc_splash_request_gold_preIDV"" override val params = it } ) } }}"
85,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/mobile/validation/KycMobileValidationFragment.java","kotlin_cannot_identify","analytics.logEvent(KYCAnalyticsEvents.PhoneNumberUpdateButtonClicked)"
86,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/tiersplash/KycTierSplashFragment.java","kotlin_cannot_identify","logEvent(AnalyticsEvents.KycTier2Complete) "
87,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/tiersplash/KycTierSplashFragment.java","kotlin_cannot_identify","logEvent(AnalyticsEvents.KycTier1Complete) "
88,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/tiersplash/KycTierSplashFragment.java","kotlin_cannot_identify","logEvent(AnalyticsEvents.KycTiersLocked)"
89,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/tiersplash/KycTierSplashFragment.java","kotlin_cannot_identify","analytics.logEvent(KYCAnalyticsEvents.Tier1Clicked) "
90,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/tiersplash/KycTierSplashFragment.java","kotlin_cannot_identify","analytics.logEvent(KYCAnalyticsEvents.Tier2Clicked) "
91,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/tiersplash/KycTierSplashFragment.java","kotlin_cannot_identify","logEvent(kycTierStart(tier)) "
92,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/countryselection/KycCountrySelectionFragment.java","kotlin_cannot_identify","logEvent(AnalyticsEvents.KycCountry) "
93,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/countryselection/KycCountrySelectionFragment.java","kotlin_cannot_identify","logEvent(AnalyticsEvents.KycStates) "
94,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/countryselection/KycCountrySelectionFragment.java","kotlin_cannot_identify","analytics.logEvent(KYCAnalyticsEvents.CountrySelected) "
95,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/kyc/email/entry/KycEmailEntryFragment.java","kotlin_cannot_identify","analytics.logEvent(KYCAnalyticsEvents.EmailUpdateButtonClicked)"
