id,commit_fk,file_path,embed_method,change_type,content,content_update_from
1094,7079,app/src/main/java/org/stepic/droid/core/LoginManagerImpl.java,"failLogin(Throwable,FailLoginSupplementaryHandler)",LOG_ADDED,analytic.reportEvent(Analytic.Error.FAIL_LOGIN),
1095,7079,app/src/main/java/org/stepic/droid/core/LoginManagerImpl.java,"successLogin(Response,AuthenticationStepicResponse,ActivityFinisher,FailLoginSupplementaryHandler,Course)",LOG_ADDED,analytic.reportEvent(Analytic.Interaction.SUCCESS_LOGIN),
1096,7079,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
1097,7079,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Screens.SHOW_MAIN_FEED),
1098,7079,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
1099,7079,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Screens.SHOW_LAUNCH),
1100,7079,app/src/main/java/org/stepic/droid/ui/activities/CourseDetailActivity.java,NILL,LOG_UPDATED,"analytic.reportEvent(Analytic.DeepLink.USER_OPEN_COURSE_DETAIL_LINK, simpleId + """")","analytic.reportEvent(Analytic.DeepLink.USER_OPEN_COURSE_DETAIL_LINK, simpleId+"""")"
1101,7082,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
1102,7082,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Screens.SHOW_MAIN_FEED),
1103,7083,app/src/main/java/org/stepic/droid/ui/dialogs/LogoutAreYouSureDialog.java,NILL,LOG_DELETED,analytic.reportEvent,
1105,7086,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,analytic.reportEvent,
1106,7086,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.java,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_PROFILE_BEFORE_LOADING),
1107,7101,app/src/main/java/org/stepic/droid/ui/adapters/CoursesAdapter.java,NILL,LOG_ADDED,analytic.reportEvent,
1108,7101,app/src/main/java/org/stepic/droid/ui/adapters/CoursesAdapter.java,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_COURSE),
1109,7101,app/src/main/java/org/stepic/droid/ui/adapters/CoursesAdapter.java,NILL,LOG_ADDED,analytic.reportEvent,
1110,7101,app/src/main/java/org/stepic/droid/ui/adapters/CoursesAdapter.java,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_CONTINUE_COURSE),
